line,comparison,region,position_class,side_of_strong_line,corr,nmse,phase_rmse_rad,amplitude_nrmse
3,author_L4_forward_vs_reverse,input_128,edge,before,0.9999967962351113,6.407519513506976e-06,0.0030831548086396546,0.001862552479123501
3,author_L4_forward_vs_reverse,embedded_200,edge,before,0.9969615294243835,0.006094562890368892,0.15968554796124906,0.05402105440256998
3,author_L4_forward_vs_reverse,heldout_72,edge,before,0.9874198112141463,0.025476005993825743,0.26611082950006726,0.11044211698365597
3,author_L4_forward_vs_reverse,extrapolated_outside_200,edge,before,0.9474445205034822,0.18028100440841655,0.43977642650998433,0.34907449975889393
3,author_L4_forward_vs_reverse,full_K,edge,before,0.9795991661670203,0.04623102984350302,0.3891366694907328,0.1741364605825223
3,author_L4_forward_vs_independent,input_128,edge,before,0.9999561145528633,8.776896834083024e-05,0.012870962306451218,0.007002973253668233
3,author_L4_forward_vs_independent,embedded_200,edge,before,0.9937113552911059,0.013730028155931077,0.2547599577706682,0.08477814330808933
3,author_L4_forward_vs_independent,heldout_72,edge,before,0.9802433917707414,0.05715971319856869,0.4242529794764374,0.17295043239586988
3,author_L4_forward_vs_independent,extrapolated_outside_200,edge,before,0.9312415603365928,0.414789279306523,0.5235366493466435,0.581461951388112
3,author_L4_forward_vs_independent,full_K,edge,before,0.9623305948706147,0.10614308418811721,0.4709497068983703,0.2888539093195486
3,author_L4_reverse_vs_independent,input_128,edge,before,0.9999588761801134,8.224594860484841e-05,0.012980764358718175,0.0067282005604059085
3,author_L4_reverse_vs_independent,embedded_200,edge,before,0.9949711364331548,0.01110847556610611,0.23024001349479895,0.07753757816578054
3,author_L4_reverse_vs_independent,heldout_72,edge,before,0.9847944035943313,0.04659350972130536,0.38334283922398366,0.15879132151845438
3,author_L4_reverse_vs_independent,extrapolated_outside_200,edge,before,0.9582323264940364,0.13785614360522247,0.32137286883688737,0.2943350274223066
3,author_L4_reverse_vs_independent,full_K,edge,before,0.9798379263036923,0.0503317708445338,0.3011859999599246,0.1759574848605574
4,wrapper_individual_vs_direct_independent,input_128,edge,before,1.0000000000000002,0.0,1.6253251924837803e-17,0.0
4,wrapper_individual_vs_direct_independent,embedded_200,edge,before,1.0,0.0,1.6221348886649064e-17,0.0
